Date,Close,Open,High,Low,Volume
10/3/2022,$242.40 ,$254.50 ,$255.16 ,$241.01 ,"98,363,541"
10/4/2022,$249.44 ,$250.52 ,$257.50 ,$242.01 ,"109,578,535"
10/5/2022,$240.81 ,$245.01 ,$246.67 ,$233.27 ,"86,982,673"
10/6/2022,$238.13 ,$239.44 ,$244.58 ,$235.35 ,"69,298,437"
10/7/2022,$223.07 ,$233.94 ,$234.57 ,$222.02 ,"83,916,800"
10/10/2022,$222.96 ,$223.93 ,$226.99 ,$218.36 ,"67,925,018"
10/11/2022,$216.50 ,$220.95 ,$225.75 ,$215.00 ,"77,013,202"
10/12/2022,$217.24 ,$215.33 ,$219.30 ,$211.51 ,"66,860,699"
10/13/2022,$221.72 ,$208.30 ,$222.99 ,$206.22 ,"91,483,045"
10/14/2022,$204.99 ,$224.01 ,$226.26 ,$204.16 ,"94,124,511"
10/17/2022,$219.35 ,$210.04 ,$221.86 ,$209.45 ,"79,428,810"
10/18/2022,$220.19 ,$229.50 ,$229.82 ,$217.25 ,"75,891,905"
10/19/2022,$222.04 ,$219.80 ,$222.93 ,$217.78 ,"66,571,479"
10/20/2022,$207.28 ,$208.28 ,$215.55 ,$202.00 ,"117,798,062"
10/21/2022,$214.44 ,$206.42 ,$214.66 ,$203.80 ,"75,713,754"
10/24/2022,$211.25 ,$205.82 ,$213.50 ,$198.59 ,"100,446,765"
10/25/2022,$222.42 ,$210.10 ,$224.35 ,$210.00 ,"96,507,870"
10/26/2022,$224.64 ,$219.40 ,$230.60 ,$218.20 ,"85,327,078"
10/27/2022,$225.09 ,$229.77 ,$233.81 ,$222.85 ,"61,638,824"
